,TIME,ACI,NP,Site,Treatment,Soil
0,0,154.63828361111112,53.477777777777774,5C,Inside,Red
1,1,154.67282527777795,53.75555555555555,5C,Inside,Red
2,2,154.5231522222221,54.19722222222222,5C,Inside,Red
3,3,154.09788867313924,54.15533980582524,5C,Inside,Red
4,4,153.73588022922627,54.5730659025788,5C,Inside,Red
5,5,153.11022888888886,54.74444444444445,5C,Inside,Red
6,6,153.6157097222222,54.50277777777778,5C,Inside,Red
7,7,153.58502472222222,54.952777777777776,5C,Inside,Red
8,8,153.97661305555553,54.74444444444445,5C,Inside,Red
9,9,154.23704138888888,55.327777777777776,5C,Inside,Red
10,10,153.60122361111115,55.99166666666667,5C,Inside,Red
11,11,153.8300675,55.605555555555554,5C,Inside,Red
12,12,154.06469250000006,55.605555555555554,5C,Inside,Red
13,13,154.02522222222223,55.76111111111111,5C,Inside,Red
14,14,153.99748000000002,55.74782608695652,5C,Inside,Red
15,15,154.71025437158465,55.814207650273225,5C,Inside,Red
16,16,154.80758104395596,55.80494505494506,5C,Inside,Red
17,17,155.25462472222216,55.19722222222222,5C,Inside,Red
18,18,154.80888416666664,54.833333333333336,5C,Inside,Red
19,19,152.8374741666668,53.32222222222222,5C,Inside,Red
20,20,153.78037222222216,52.047222222222224,5C,Inside,Red
21,21,156.46021694444448,51.69444444444444,5C,Inside,Red
22,22,156.80485180055413,52.60387811634349,5C,Inside,Red
23,23,154.41509750000006,53.92777777777778,5C,Inside,Red
0,0,151.21434833333333,53.75,6C,Inside,Red
1,1,151.1468216666668,53.95,6C,Inside,Red
2,2,151.04979566666668,54.49666666666667,6C,Inside,Red
3,3,150.92582500000006,54.68,6C,Inside,Red
4,4,150.84060299999996,55.306666666666665,6C,Inside,Red
5,5,151.13272299999994,56.17,6C,Inside,Red
6,6,151.63118666666662,54.43,6C,Inside,Red
7,7,150.741929,54.76,6C,Inside,Red
8,8,151.05316299999993,55.05,6C,Inside,Red
9,9,151.2399949999999,55.056666666666665,6C,Inside,Red
10,10,151.31453000000002,55.63,6C,Inside,Red
11,11,151.41166700000002,56.02666666666666,6C,Inside,Red
12,12,151.0854776666667,56.03666666666667,6C,Inside,Red
13,13,151.261027,56.28666666666667,6C,Inside,Red
14,14,151.6171987341771,56.50632911392405,6C,Inside,Red
15,15,151.31041666666664,56.1,6C,Inside,Red
16,16,151.75014833333327,55.727777777777774,6C,Inside,Red
17,17,151.3072494444444,56.10833333333333,6C,Inside,Red
18,18,154.42794472222224,55.5,6C,Inside,Red
19,19,153.67021999999997,52.825,6C,Inside,Red
20,20,151.44648805555562,51.55833333333333,6C,Inside,Red
21,21,151.91737404371588,51.99180327868852,6C,Inside,Red
22,22,151.5284632183909,53.16954022988506,6C,Inside,Red
23,23,151.41657166123784,53.78175895765472,6C,Inside,Red
0,0,154.4233541666667,49.50833333333333,7C,Outside,Red
1,1,153.7297311111111,49.96944444444444,7C,Outside,Red
2,2,153.56195638888897,50.519444444444446,7C,Outside,Red
3,3,153.46358388888896,50.28888888888889,7C,Outside,Red
4,4,153.27021972222212,51.12222222222222,7C,Outside,Red
5,5,153.03859499999996,52.31944444444444,7C,Outside,Red
6,6,153.9446458333333,52.852777777777774,7C,Outside,Red
7,7,153.77685916666664,52.90555555555556,7C,Outside,Red
8,8,154.16915833333337,53.48333333333333,7C,Outside,Red
9,9,153.92690208333332,54.01488095238095,7C,Outside,Red
10,10,153.63959858356938,55.18130311614731,7C,Outside,Red
11,11,153.119852631579,55.44875346260388,7C,Outside,Red
12,12,153.50031583333333,55.95555555555556,7C,Outside,Red
13,13,153.4836341666666,56.225,7C,Outside,Red
14,14,153.15490166666666,57.36111111111112,7C,Outside,Red
15,15,152.87654444444436,57.075,7C,Outside,Red
16,16,152.61863111111103,56.66666666666666,7C,Outside,Red
17,17,152.92814749999997,57.25,7C,Outside,Red
18,18,153.5726030555555,52.98888888888889,7C,Outside,Red
19,19,154.33242277777785,44.81944444444444,7C,Outside,Red
20,20,155.09613305555555,43.33055555555556,7C,Outside,Red
21,21,155.6459480555555,45.375,7C,Outside,Red
22,22,155.48962972222228,46.77222222222223,7C,Outside,Red
23,23,155.4793377777778,48.16388888888889,7C,Outside,Red
0,0,152.05250618892498,56.36807817589577,8C,Outside,Black
1,1,151.8435249169435,56.41860465116279,8C,Outside,Black
2,2,151.84297466666663,55.66,8C,Outside,Black
3,3,151.42256533333335,55.696666666666665,8C,Outside,Black
4,4,151.3720663333332,56.153333333333336,8C,Outside,Black
5,5,151.2074923333335,55.82666666666667,8C,Outside,Black
6,6,151.47679666666676,55.13666666666666,8C,Outside,Black
7,7,152.86184966666667,53.77666666666666,8C,Outside,Black
8,8,156.42284033333328,52.13,8C,Outside,Black
9,9,154.258101,53.97,8C,Outside,Black
10,10,151.35124400000012,55.79666666666667,8C,Outside,Black
11,11,151.363936,56.10666666666667,8C,Outside,Black
12,12,151.46199433333334,56.54666666666667,8C,Outside,Black
13,13,152.1105858024692,56.46604938271605,8C,Outside,Black
14,14,152.09867444444444,56.675,8C,Outside,Black
15,15,152.28325611111134,57.11111111111112,8C,Outside,Black
16,16,152.22476722222214,56.9,8C,Outside,Black
17,17,152.60121055555555,57.025,8C,Outside,Black
18,18,155.58420916666662,54.71111111111111,8C,Outside,Black
19,19,157.24816111111107,54.20555555555556,8C,Outside,Black
20,20,152.43120555555558,55.73888888888889,8C,Outside,Black
21,21,152.63198111111106,56.09722222222222,8C,Outside,Black
22,22,152.176258888889,56.29166666666666,8C,Outside,Black
23,23,151.69052478632477,56.54415954415954,8C,Outside,Black
0,0,155.1429913888889,51.4,9C,Outside,Red
1,1,154.3633730555555,51.43888888888889,9C,Outside,Red
2,2,153.88680083333338,51.98888888888889,9C,Outside,Red
3,3,153.6391941666668,51.85833333333333,9C,Outside,Red
4,4,152.46161583333338,52.23611111111112,9C,Outside,Red
5,5,151.34008166666675,54.42777777777778,9C,Outside,Red
6,6,154.44922250000005,51.40555555555556,9C,Outside,Red
7,7,153.80497944444454,53.63055555555555,9C,Outside,Red
8,8,153.14978055555574,55.05555555555556,9C,Outside,Red
9,9,154.36837833333337,55.76111111111111,9C,Outside,Red
10,10,154.62202924791083,56.49025069637883,9C,Outside,Red
11,11,153.59981866666678,57.04,9C,Outside,Red
12,12,154.04717088235296,57.98823529411764,9C,Outside,Red
13,13,153.5001894444445,58.18611111111111,9C,Outside,Red
14,14,153.2750255555556,58.23333333333333,9C,Outside,Red
15,15,152.94200914127416,58.52354570637119,9C,Outside,Red
16,16,153.54916444444447,58.352777777777774,9C,Outside,Red
17,17,154.6883697222223,57.75,9C,Outside,Red
18,18,157.85254138888894,53.75555555555555,9C,Outside,Red
19,19,159.83200472222214,46.06944444444444,9C,Outside,Red
20,20,170.32087638888905,46.34722222222222,9C,Outside,Red
21,21,164.2289186111112,48.05,9C,Outside,Red
22,22,162.64806861111106,49.93333333333333,9C,Outside,Red
23,23,158.32441138888902,51.227777777777774,9C,Outside,Red
0,0,156.94973633333333,55.156666666666666,10C,Outside,Black
1,1,157.33170066666682,55.78666666666667,10C,Outside,Black
2,2,156.2192886666666,55.70333333333333,10C,Outside,Black
3,3,155.45906133333335,57.053333333333335,10C,Outside,Black
4,4,153.05246133333318,58.016666666666666,10C,Outside,Black
5,5,155.46628233333328,57.93666666666667,10C,Outside,Black
6,6,158.1660426666668,55.403333333333336,10C,Outside,Black
7,7,157.61050000000006,55.68,10C,Outside,Black
8,8,156.5322803333335,57.153333333333336,10C,Outside,Black
9,9,155.91551666666658,58.71666666666667,10C,Outside,Black
10,10,155.4934288590604,58.718120805369125,10C,Outside,Black
11,11,158.35215436507934,58.3015873015873,10C,Outside,Black
12,12,160.91285330578503,57.39256198347108,10C,Outside,Black
13,13,160.72435755395682,57.0,10C,Outside,Black
14,14,163.5221386666665,56.373333333333335,10C,Outside,Black
15,15,164.37278166666667,55.68,10C,Outside,Black
16,16,169.22905533333332,54.656666666666666,10C,Outside,Black
17,17,172.51345800000004,52.84,10C,Outside,Black
18,18,167.1153603333334,53.473333333333336,10C,Outside,Black
19,19,163.68332233333328,51.42333333333333,10C,Outside,Black
20,20,154.8061873333334,53.96666666666667,10C,Outside,Black
21,21,154.34391633333317,54.54333333333334,10C,Outside,Black
22,22,159.11402599999994,54.34,10C,Outside,Black
23,23,156.58758700000004,55.50666666666667,10C,Outside,Black
